"Row ID","Incident Datetime","Incident Date","Incident Time","Incident Year","Incident Day of Week","Report Datetime","Incident ID","Incident Number","CAD Number","Report Type Code","Report Type Description","Filed Online","Incident Code","Incident Category","Incident Subcategory","Incident Description",Resolution,Intersection,CNN,"Police District","Analysis Neighborhood","Supervisor District","Supervisor District 2012",Latitude,Longitude,Point,data_as_of,data_loaded_at,Neighborhoods,"ESNCAG - Boundary File","Central Market/Tenderloin Boundary Polygon - Updated","Civic Center Harm Reduction Project Boundary","HSOC Zones as of 2018-06-05","Invest In Neighborhoods (IIN) Areas","Current Supervisor Districts","Current Police Districts",incident_date_clean
149077006363,"2025-05-09 20:49:00",2025-05-09,20:49:00,2025,Friday,"2025-06-11 09:03:00",1490770,256058976,,II,"Coplogic Initial",1.0,6363,"Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Open or Active","CHESTNUT ST \ STEINER ST",26771000.0,Northern,Marina,2.0,2.0,37.800609588623,-122.437889099121,"POINT (-122.437889099 37.800609589)","2025-06-18 09:38:27","2025-06-19 09:52:54",17.0,,,,,,6.0,4.0,NULL
149072371013,"2025-06-15 12:00:00",2025-06-15,12:00:00,2025,Sunday,"2025-06-17 12:37:00",1490723,250336786,251681599.0,VI,"Vehicle Initial",,71013,"Larceny Theft","Theft From Vehicle","License Plate, Stolen","Open or Active","CORBETT AVE \ MORGAN ALY",26104000.0,Park,"Twin Peaks",8.0,8.0,37.7548141479492,-122.442390441894,"POINT (-122.442390442 37.754814148)","2025-06-18 09:38:27","2025-06-19 09:52:54",51.0,,,,,,5.0,7.0,NULL
149059775000,"2025-06-16 23:17:00",2025-06-16,23:17:00,2025,Monday,"2025-06-16 23:17:00",1490597,240620442,251673374.0,IS,"Initial Supplement",,75000,"Missing Person","Missing Person","Found Person","Open or Active","BAY SHORE BLVD \ CORTLAND AVE",21023000.0,Bayview,"Bayview Hunters Point",10.0,10.0,37.7395668029785,-122.40697479248,"POINT (-122.406974792 37.739566803)","2025-06-18 09:38:27","2025-06-19 09:52:54",82.0,,,,,,9.0,2.0,NULL
149086619057,"2025-06-16 16:30:00",2025-06-16,16:30:00,2025,Monday,"2025-06-17 13:40:00",1490866,250336924,251681801.0,II,Initial,,19057,"Disorderly Conduct",Intimidation,"Terrorist Threats","Open or Active","EDDY ST \ LEAVENWORTH ST",24935000.0,Tenderloin,Tenderloin,5.0,6.0,37.7837219238281,-122.414237976074,"POINT (-122.414237976 37.783721924)","2025-06-18 09:38:27","2025-06-19 09:52:54",20.0,,1.0,1.0,,,10.0,5.0,NULL
149080906372,"2025-06-09 15:45:00",2025-06-09,15:45:00,2025,Monday,"2025-06-09 16:28:00",1490809,256058675,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active","FOLSOM ST \ THE EMBARCADERO",24545000.0,Southern,"Financial District/South Beach",6.0,6.0,37.7908287048339,-122.390014648437,"POINT (-122.390014648 37.790828705)","2025-06-18 09:38:27","2025-06-19 09:52:54",108.0,1.0,,,,,10.0,1.0,NULL
149082206244,"2025-03-26 00:01:00",2025-03-26,00:01:00,2025,Wednesday,"2025-03-26 17:20:00",1490822,256058227,,II,"Coplogic Initial",1.0,6244,"Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","29TH ST \ DIAMOND ST",22028000.0,Ingleside,"Noe Valley",8.0,8.0,37.7431602478027,-122.435562133789,"POINT (-122.435562134 37.743160248)","2025-06-18 09:38:27","2025-06-19 09:52:54",57.0,,,,,,5.0,9.0,NULL
149060307021,"2025-06-14 19:00:00",2025-06-14,19:00:00,2025,Saturday,"2025-06-16 21:04:00",1490603,250335835,251673090.0,VS,"Vehicle Supplement",,7021,"Motor Vehicle Theft","Motor Vehicle Theft","Vehicle, Stolen, Auto","Open or Active","23RD ST \ SHOTWELL ST",24065000.0,Mission,Mission,9.0,9.0,37.7540321350097,-122.415321350097,"POINT (-122.41532135 37.754032135)","2025-06-18 09:38:27","2025-06-19 09:52:54",53.0,,,,3.0,,2.0,3.0,NULL
149061306372,"2025-06-14 23:30:00",2025-06-14,23:30:00,2025,Saturday,"2025-06-15 01:20:00",1490613,256058885,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active","FOLSOM ST \ RAUSCH ST",24276000.0,Southern,"South of Market",6.0,6.0,37.7758750915527,-122.408943176269,"POINT (-122.408943176 37.775875092)","2025-06-18 09:38:27","2025-06-19 09:52:54",32.0,,,1.0,1.0,,10.0,1.0,NULL
149062706244,"2025-06-16 14:30:00",2025-06-16,14:30:00,2025,Monday,"2025-06-16 19:31:00",1490627,256059388,,II,"Coplogic Initial",1.0,6244,"Larceny Theft","Larceny - From Vehicle","Theft, From Locked Vehicle, >$950","Open or Active","MARKET ST \ RESERVOIR ST",25877000.0,Mission,"Castro/Upper Market",8.0,8.0,37.7687721252441,-122.427459716796,"POINT (-122.427459717 37.768772125)","2025-06-18 09:38:27","2025-06-19 09:52:54",28.0,,,,5.0,,5.0,3.0,NULL
149062606372,"2025-06-10 12:00:00",2025-06-10,12:00:00,2025,Tuesday,"2025-06-12 15:28:00",1490626,256059065,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active","JACKSON ST \ LAGUNA ST",26565000.0,Northern,"Pacific Heights",2.0,2.0,37.793098449707,-122.429626464843,"POINT (-122.429626465 37.79309845)","2025-06-18 09:38:27","2025-06-19 09:52:54",102.0,,,,,,6.0,4.0,NULL
149076906372,"2025-06-12 13:04:00",2025-06-12,13:04:00,2025,Thursday,"2025-06-13 08:38:00",1490769,256058841,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active","04TH ST \ HOWARD ST",24627000.0,Southern,"Financial District/South Beach",6.0,6.0,37.7832603454589,-122.402709960937,"POINT (-122.402709961 37.783260345)","2025-06-18 09:38:27","2025-06-19 09:52:54",32.0,,,,,,10.0,1.0,NULL
148927806363,"2025-06-10 11:57:00",2025-06-10,11:57:00,2025,Tuesday,"2025-06-10 12:03:00",1489278,250323391,251611376.0,II,Initial,,6363,"Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Open or Active","01ST ST \ MISSION ST",24563000.0,Southern,"Financial District/South Beach",6.0,6.0,37.7897644042968,-122.397575378417,"POINT (-122.397575378 37.789764404)","2025-06-18 09:38:27","2025-06-19 09:52:54",108.0,,,,,,10.0,1.0,NULL
149082306372,"2025-06-03 17:25:00",2025-06-03,17:25:00,2025,Tuesday,"2025-06-11 11:20:00",1490823,256058998,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active","FULTON ST \ LAGUNA ST",25958000.0,Northern,"Hayes Valley",5.0,5.0,37.7783279418945,-122.426643371582,"POINT (-122.426643372 37.778327942)","2025-06-18 09:38:27","2025-06-19 09:52:54",22.0,,,,,,11.0,4.0,NULL
149081906363,"2025-06-11 13:32:00",2025-06-11,13:32:00,2025,Wednesday,"2025-06-11 15:44:00",1490819,256058380,,II,"Coplogic Initial",1.0,6363,"Larceny Theft","Larceny Theft - Shoplifting","Theft, Shoplifting, $200-$950","Open or Active","04TH ST \ BLUXOME ST",23822000.0,Southern,"South of Market",6.0,6.0,37.7776985168457,-122.39574432373,"POINT (-122.395744324 37.777698517)","2025-06-18 09:38:27","2025-06-19 09:52:54",32.0,,,,,,10.0,1.0,NULL
149062106372,"2025-06-07 15:13:00",2025-06-07,15:13:00,2025,Saturday,"2025-06-07 18:03:00",1490621,256058255,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active",,,Park,,,,,,,"2025-06-18 09:38:27","2025-06-19 09:52:54",,,,,,,,,NULL
149065606372,"2025-06-14 07:15:00",2025-06-14,07:15:00,2025,Saturday,"2025-06-14 13:45:00",1490656,256058863,,II,"Coplogic Initial",1.0,6372,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, $50-$200","Open or Active",,,Southern,,,,,,,"2025-06-18 09:38:27","2025-06-19 09:52:54",,,,,,,,,NULL
149076528150,"2025-06-12 19:22:00",2025-06-12,19:22:00,2025,Thursday,"2025-06-13 08:16:00",1490765,256058318,,II,"Coplogic Initial",1.0,28150,"Malicious Mischief",Vandalism,"Malicious Mischief, Vandalism to Property","Open or Active","MAGELLAN AVE \ SOLA AVE",22889000.0,Park,"West of Twin Peaks",7.0,7.0,37.7477531433105,-122.459968566894,"POINT (-122.459968567 37.747753143)","2025-06-18 09:38:27","2025-06-19 09:52:54",45.0,,,,,,8.0,10.0,NULL
149065006374,"2025-05-03 01:00:00",2025-05-03,01:00:00,2025,Saturday,"2025-05-05 12:17:00",1490650,256058164,,II,"Coplogic Initial",1.0,6374,"Larceny Theft","Larceny Theft - Other","Theft, Other Property, >$950","Open or Active","SUSSEX ST \ VAN BUREN ST",21971000.0,Ingleside,"Glen Park",8.0,8.0,37.7367897033691,-122.435501098632,"POINT (-122.435501099 37.736789703)","2025-06-18 09:38:27","2025-06-19 09:52:54",96.0,,,,,,5.0,9.0,NULL
149070406303,"2025-06-13 13:00:00",2025-06-13,13:00:00,2025,Friday,"2025-06-17 11:14:00",1490704,250336548,251681257.0,II,Initial,,6303,"Larceny Theft","Larceny Theft - From Building","Theft, From Building, $200-$950","Open or Active","24TH ST \ RHODE ISLAND ST",23697000.0,Bayview,"Potrero Hill",10.0,10.0,37.7532920837402,-122.401466369628,"POINT (-122.40146637 37.753292084)","2025-06-18 09:38:27","2025-06-19 09:52:54",54.0,,,,,,9.0,2.0,NULL
149062528150,"2025-06-02 10:00:00",2025-06-02,10:00:00,2025,Monday,"2025-06-10 17:28:00",1490625,256058283,,II,"Coplogic Initial",1.0,28150,"Malicious Mischief",Vandalism,"Malicious Mischief, Vandalism to Property","Open or Active","ASHBURY ST \ FREDERICK ST",26335000.0,Park,"Haight Ashbury",5.0,5.0,37.767219543457,-122.446372985839,"POINT (-122.446372986 37.767219543)","2025-06-18 09:38:27","2025-06-19 09:52:54",114.0,,,,,,11.0,7.0,NULL
