GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,Workers,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area,longitude,latitude,walkability_tier,neighborhood_name
60750305003,60750305003,6,75,30500,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",123.3387295,4.4594137,118.8793158,111.39389,1451,366,366,690,0.4219945199318693,0.4839335892190338,37.701428291699514,536.45,10,6,8,15,10.333333333333334,3531.4905936611813,499144.67561439634,-122.455411,37.749454,Medium,Other SF Area
60750304005,60750304005,6,75,30400,5,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",24.8646846,0.0,24.8646846,24.8646846,878,304,304,460,0.696895045158098,0.6714521083467695,154.4359022354138,269.57,15,15,18,18,17.0,1379.2286362156374,100625.63717949296,-122.473044,37.744103,High,Other SF Area
60750305001,60750305001,6,75,30500,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",113.7561915,4.3546433,109.4015482,71.00693,901,358,346,397,0.6722446222223274,0.3438879062610964,109.24306096794342,924.03,6,14,15,13,12.666666666666668,5311.231666842223,460364.4306572199,-122.450215,37.754559,Medium,Other SF Area
60750305002,60750305002,6,75,30500,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",40.5100682,0.0,40.5100682,40.51007,992,348,339,366,0.2986794108448524,0.2650753383266344,126.451527425471,854.29,4,4,16,13,11.0,2212.2959909828273,163941.90057822387,-122.450876,37.750752,Medium,Other SF Area
60750310002,60750310002,6,75,31000,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",98.9766463,0.0,98.9766463,98.9766463,1209,474,474,688,0.717260183430381,0.6374853891499538,187.56424564771297,508.28,14,16,19,15,16.333333333333332,2882.008638245536,400553.5324758383,-122.455384,37.7273,High,Other SF Area
60750306001,60750306001,6,75,30600,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",38.596525799999995,0.0,38.596525799999995,38.596525799999995,902,311,294,446,0.4995313335476468,0.8756510385848085,276.46840690516245,148.86,20,8,20,20,18.0,2062.034030795311,156198.54080753092,-122.456593,37.745428,High,Other SF Area
60750306002,60750306002,6,75,30600,2,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",40.4515055,0.0,40.4515055,40.15989,775,322,304,412,0.7941151731640214,0.7935810052110908,237.3844899295528,177.03,19,19,20,19,19.333333333333332,2683.1462928996316,163705.34542752008,-122.454756,37.742528,High,Other SF Area
60750309003,60750309003,6,75,30900,3,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",81.19631869999999,0.0,81.19631869999999,81.19631869999999,2035,479,479,620,0.8081436911341947,0.4323051674074605,318.0360934269795,532.42,8,19,20,15,16.166666666666668,2433.517575632675,328599.58564407745,-122.466023,37.724023,High,Other SF Area
60750309004,60750309004,6,75,30900,4,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",74.72180449999999,0.0,74.72180449999999,74.7218,741,368,315,434,0.7591611835858332,0.7152454293563608,205.63100828219424,398.31,17,18,19,17,17.833333333333336,2890.838186290654,302397.0267167561,-122.470345,37.726398,High,Other SF Area
60750309006,60750309006,6,75,30900,6,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",58.7294925,0.0,58.7294925,58.7294925,582,240,240,279,0.8225367065707822,0.7737177640138225,210.74522310915592,105.95,18,19,19,20,19.166666666666668,2371.5379102984666,237674.33316539464,-122.473333,37.731135,High,Other SF Area
60750310001,60750310001,6,75,31000,1,488,"San Jose-San Francisco-Oakland, CA",41860,"San Francisco-Oakland-Berkeley, CA",49.665617399999995,0.0,49.665617399999995,49.665617399999995,917,388,346,489,0.4910896573551198,0.3904867190436427,227.6987701354942,107.29,7,8,20,20,15.833333333333336,2181.347129009225,200994.3054411365,-122.457456,37.732447,Medium,Other SF Area
